City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,damghan,36.1683,54.348,49.98,67,30,5.44,IR,1678227117
313,waipawa,-41.4122,175.5153,65.01,70,48,7.49,NZ,1678227117
314,ghugus,19.9333,79.1333,71.53,51,0,3.65,IN,1678227117
315,troitsko-pechorsk,62.7084,56.1964,7.38,89,100,5.1,RU,1678227118
316,komyshuvakha,47.7176,35.5288,41.81,91,100,5.59,UA,1678227118
317,bad mergentheim,49.4925,9.7736,41.38,65,75,18.41,DE,1678227118
318,poya,-21.35,165.15,80.17,66,16,6.08,NC,1678227119
319,ayan,56.45,138.1667,3.54,84,100,4.16,RU,1678227119
320,puerto narino,-3.7703,-70.3831,79.68,87,96,1.74,CO,1678227119
321,mozarlandia,-14.7447,-50.5706,77.99,81,84,4.7,BR,1678227120
322,roald,62.5833,6.1333,28.54,74,75,5.75,NO,1678227120
323,kot diji,27.3427,68.7083,69.82,30,0,7.07,PK,1678227120
324,diego de almagro,-26.3667,-70.05,74.48,45,28,9.37,CL,1678227121
325,berdigestyakh,62.0989,126.6992,-30.68,100,100,2.37,RU,1678227121
326,broken hill,-31.95,141.4333,59.59,59,0,8.41,AU,1678227122
327,svetlogorsk,52.6333,29.7333,29.91,81,96,10.74,BY,1678227122
328,tateyama,34.9833,139.8667,57.27,61,0,8.43,JP,1678227123
329,high rock,26.6208,-78.2833,80.62,69,3,12.37,BS,1678227123
330,aswan,24.0934,32.907,67.82,19,0,13.09,EG,1678227124
331,obihiro,42.9172,143.2044,35.56,77,38,0.56,JP,1678227124
332,marawi,7.9986,124.2928,67.75,97,75,1.54,PH,1678227124
333,mocorito,25.4833,-107.9167,83.21,10,98,7.49,MX,1678227125
334,canon city,38.441,-105.2424,58.62,74,100,3.44,US,1678227125
335,suntar,62.1444,117.6319,-6.05,92,100,8.14,RU,1678227125
336,trinidad,-14.8333,-64.9,87.78,70,75,8.05,BO,1678226976
337,gimli,50.6336,-96.9907,8.74,80,100,9.82,CA,1678227126
338,filingue,14.3521,3.3168,88.34,9,100,9.17,NE,1678227126
339,deder,9.3167,41.45,59.34,43,3,3.24,ET,1678227127
340,vilcun,-38.65,-72.2333,63.34,67,100,5.21,CL,1678227127
341,gayny,60.3071,54.3241,4.53,100,100,3.09,RU,1678227128
342,peruibe,-24.32,-46.9983,77.9,85,45,7.4,BR,1678227128
343,batagay,67.6333,134.6333,-29.02,100,96,2.73,RU,1678227129
344,ancud,-41.8697,-73.8203,58.89,66,75,5.55,CL,1678226895
345,kirakira,-10.4544,161.9205,82.69,76,100,0.72,SB,1678227129
346,rincon,32.296,-81.2354,84.16,43,1,1.01,US,1678227130
347,norfolk,42.1668,-71.2495,36.01,63,100,8.01,US,1678226431
348,jiblah,13.9216,44.1467,58.33,52,35,5.46,YE,1678227130
349,comrat,46.3003,28.6572,46.09,66,76,4.29,MD,1678227131
350,olga,43.7444,135.2892,33.96,82,91,7.36,RU,1678227131
351,codrington,-38.2667,141.9667,54.25,63,100,11.65,AU,1678227132
352,aklavik,68.2191,-135.0107,-2.56,89,23,18.63,CA,1678227132
353,vaitape,-16.5167,-151.75,82.02,73,94,14.27,PF,1678227132
354,port lincoln,-34.7333,135.8667,63.45,74,96,17.34,AU,1678227133
355,torbay,47.6666,-52.7314,35.28,95,100,17.27,CA,1678227134
356,chifeng,42.2683,118.9636,30.97,50,3,2.75,CN,1678227134
357,leningradskiy,69.3833,178.4167,-23.19,95,62,2.71,RU,1678227135
358,praya,14.9215,-23.5087,77.54,38,20,9.22,CV,1678227135
359,yatou,37.15,122.3833,45.32,84,81,9.42,CN,1678227136
360,tonj,7.2737,28.6822,87.6,29,66,0.56,SS,1678227136
361,santa cruz,-17.8,-63.1667,82.45,78,75,11.5,BO,1678226997
362,beloha,-25.1667,45.05,73.06,94,100,12.37,MG,1678227137
363,mount gambier,-37.8333,140.7667,53.8,58,100,9.28,AU,1678227137
364,lansdale,40.2415,-75.2838,45.48,36,0,18.41,US,1678227138
365,panaba,21.2833,-88.2667,88.2,38,57,18.99,MX,1678227138
366,general pico,-35.6566,-63.7568,89.96,20,0,7.45,AR,1678227139
367,tahta,26.7693,31.5021,61.83,30,0,7.0,EG,1678227139
368,havelock,34.8791,-76.9013,70.0,53,5,4.0,US,1678227139
369,los llanos de aridane,28.6585,-17.9182,61.12,91,0,8.05,ES,1678227140
370,erenhot,43.6475,111.9767,33.1,47,42,8.81,CN,1678227140
371,olafsvik,64.8945,-23.7142,21.18,67,100,34.72,IS,1678226878
372,kruisfontein,-34.0033,24.7314,65.75,95,88,10.51,ZA,1678227141
373,poum,-20.2333,164.0167,80.94,70,5,20.51,NC,1678227141
374,berlevag,70.8578,29.0864,17.6,79,40,24.16,NO,1678227142
375,shizukuishi,39.6833,140.9833,38.61,95,87,3.09,JP,1678227143
376,pringsewu,-5.3582,104.9744,72.09,97,58,0.63,ID,1678227143
377,turkistan,43.0,68.0,56.19,58,100,13.6,KZ,1678227144
378,haines junction,60.7522,-137.5108,22.89,88,100,4.05,CA,1678227144
379,brandfort,-28.7001,26.4597,63.64,79,96,13.33,ZA,1678227144
380,talnakh,69.4865,88.3972,-21.8,94,96,2.1,RU,1678227145
381,yulara,-25.2406,130.9889,64.4,37,0,12.19,AU,1678227146
382,narasannapeta,18.4167,84.05,73.36,70,90,2.19,IN,1678227146
